Age_client,Age_car,Driver2,Payment_annual,Client_seniority,Retention
64,3,0,1,5.6153319644,1
58,14,0,1,8.8815879535,0
60,8,0,0,9.0239561944,1
61,0,1,1,16.219028063,1
63,0,0,1,13.500342231,1
58,13,0,1,8.5393566051,1
60,14,1,1,14.006844627,1
56,6,1,0,6.5325119781,1
56,9,0,1,11.039014374,1
56,0,0,1,11.504449008,1
57,0,1,1,15.011635866,1
55,0,0,1,15.641341547,1
56,4,0,1,8.0848733744,1
55,13,0,1,10.132785763,1
53,8,0,1,7.0116358658,1
52,12,0,1,13.363449692,1
49,0,0,1,9.4647501711,0
51,0,1,1,8.5338809035,1
48,4,0,0,7.5865845311,0
48,3,0,0,9.6755646817,1
53,0,0,1,19.742642026,1
50,0,1,1,21.790554415,1
48,15,1,0,7.3401779603,1
43,0,0,1,13.555099247,0
43,9,0,1,7.394934976,0
45,9,0,0,6.0889801506,1
41,0,0,1,9.4154688569,0
44,10,0,1,9.0047912389,1
42,6,0,1,7.0554414784,1
44,15,0,0,6.0944558522,1
46,14,0,0,6.6529774127,1
43,0,0,1,8.6680355921,1
45,6,0,1,5.0239561944,1
41,8,0,0,7.4031485284,1
44,9,0,1,8.0492813142,1
39,7,0,0,7.3073237509,1
35,4,0,1,6.5407255305,0
35,14,0,0,7.6167008898,1
32,9,0,1,5.7741273101,1
50,2,0,0,6.0013689254000004,0
50,10,0,0,8.0848733744,1
81,0,0,1,15.271731691,1
80,11,1,0,8.8405201916,1
78,4,0,1,6.8583162218,1
82,0,0,0,15.219712526,1
81,12,0,1,7.832991102,1
77,0,0,1,10.258726899,0
85,0,0,1,18.080766598,1
81,8,0,1,7.0335386721,1
85,0,0,1,15.868583162,1
85,0,0,1,21.420944559,1
84,0,0,1,19.433264887,1
80,7,0,1,5.5003422313,1
80,18,0,1,5.6700889802,1
71,18,0,0,7.6002737851,0
79,0,0,1,15.835728953,1
78,22,0,1,7.4606433949,1
84,0,0,1,14.321697467,1
73,11,0,1,13.377138946,1
71,0,0,1,19.572895277,0
85,0,0,1,13.240246407,1
77,0,0,1,11.482546201,1
73,6,0,1,7.8576317591,1
78,0,0,1,16.963723477,1
72,18,0,1,14.99247091,0
74,7,0,0,10.310746064,1
77,0,0,1,20.544832307,1
74,0,0,1,20.547570157,1
72,0,0,1,14.496919918,1
37,13,0,0,7.4004106776,1
74,6,0,1,7.8384668036,1
75,1,0,1,7.8466803559,1
73,0,0,1,14.450376454,1
79,25,0,1,6.0013689254000004,1
78,0,0,1,17.401779603,1
79,25,0,1,18.636550308,1
72,12,0,1,10.844626968,1
71,0,0,1,14.896646133,1
71,0,0,1,17.259411362,1
71,12,1,0,12.361396304,1
70,0,0,1,19.767282683,1
77,0,0,1,13.508555784,1
65,8,0,1,6.6009582478,0
77,16,0,1,5.4893908282,1
66,11,0,1,6.0095824778,0
67,5,0,1,7.4387405886,1
66,0,0,0,11.227926078,1
65,8,0,0,11.1321013,0
67,0,0,1,19.085557837,1
70,0,0,1,8.6762491444,1
65,6,0,1,9.6646132786,0
71,23,0,1,6.0971937029,1
66,8,0,1,9.2785763176,1
65,0,0,1,22.907597536,1
64,0,0,0,13.519507187,1
75,11,0,1,7.8576317591,1
64,11,0,1,8.5065023956,1
65,15,0,1,7.8247775496,0
60,5,0,1,8.5256673511,0
66,0,0,1,16.517453799,1
76,9,0,1,7.9698836413,1
61,9,0,1,6.0533880903,1
65,13,0,1,7.8275154004,1
59,8,0,1,7.704312115,1
60,0,0,1,20.446269678,0
64,8,1,1,7.0335386721,1
63,0,0,1,14.368240931,1
61,10,0,0,11.195071869,1
64,12,0,1,10.480492813,1
57,7,0,1,6.3518138261,0
63,16,0,1,7.8138261465,1
61,14,0,1,8.0465434634,0
65,15,0,1,6.9431895962,1
61,9,0,0,10.88843258,1
59,0,0,1,22.945927447,1
62,14,0,1,6.1382614648,1
